playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP
vittejo01,126,26,2,16,62,67,50,138,17,3,6,12,3,540,600,0.233,0.305,0.378,0.683,0.144,0.305,-2,23.00%,8.33%,2.76,0.285
vizquom01,134,23,3,11,51,59,39,93,13,2,3,10,4,546,600,0.245,0.299,0.359,0.658,0.114,0.294,-8,15.50%,6.50%,2.38,0.278
vogtst01,143,24,3,17,68,62,41,103,8,4,3,5,2,551,600,0.260,0.314,0.407,0.721,0.147,0.320,5,17.17%,6.83%,2.51,0.292
vottojo01,144,34,1,18,63,77,102,114,12,13,5,6,3,491,600,0.293,0.420,0.477,0.896,0.183,0.405,45,19.00%,17.00%,1.12,0.351
walkech02,137,29,3,16,63,66,48,136,12,3,5,9,3,543,600,0.252,0.319,0.405,0.724,0.153,0.322,5,22.67%,8.00%,2.83,0.309
walkene01,142,28,3,20,73,74,52,105,14,3,10,4,3,533,600,0.266,0.343,0.443,0.786,0.176,0.348,18,17.50%,8.67%,2.02,0.299
wallabr01,134,28,2,22,69,70,45,173,10,2,9,5,2,544,600,0.246,0.314,0.426,0.741,0.180,0.327,8,28.83%,7.50%,3.84,0.321
walteza01,128,23,3,25,70,72,47,154,9,2,5,6,2,546,600,0.234,0.301,0.425,0.726,0.190,0.320,5,25.67%,7.83%,3.28,0.281
watkilo01,138,27,2,13,58,70,42,136,9,4,5,9,3,547,600,0.252,0.311,0.380,0.692,0.128,0.309,0,22.67%,7.00%,3.24,0.314
weeksje01,128,24,7,8,43,73,55,98,9,1,6,16,5,528,600,0.242,0.321,0.360,0.681,0.117,0.305,-2,16.33%,9.17%,1.78,0.284
weeksri01,127,31,2,17,55,71,59,147,13,1,11,11,5,528,600,0.241,0.329,0.403,0.733,0.163,0.327,8,24.50%,9.83%,2.49,0.302
wellsca01,118,23,3,13,53,66,49,149,9,2,4,6,3,545,600,0.217,0.286,0.341,0.627,0.125,0.282,-13,24.83%,8.17%,3.04,0.274
wellsve01,132,23,1,17,65,66,42,98,12,2,2,9,3,550,600,0.240,0.296,0.378,0.674,0.138,0.300,-5,16.33%,7.00%,2.33,0.264
werthja01,152,31,2,18,75,80,69,109,9,3,6,10,2,520,600,0.292,0.382,0.463,0.845,0.171,0.374,30,18.17%,11.50%,1.58,0.341
wheelry01,136,28,3,13,77,63,47,123,14,2,3,7,2,543,600,0.250,0.314,0.385,0.699,0.134,0.311,0,20.50%,7.83%,2.62,0.302
wheelze01,133,22,2,15,61,66,42,121,12,3,6,8,3,543,600,0.245,0.306,0.376,0.682,0.131,0.305,-3,20.17%,7.00%,2.88,0.290
whiteel03,129,27,2,13,62,62,43,125,10,3,6,11,3,542,600,0.238,0.301,0.367,0.668,0.129,0.299,-5,20.83%,7.17%,2.91,0.287
wietema01,136,29,1,22,83,67,51,114,12,4,2,4,1,540,600,0.252,0.319,0.431,0.750,0.180,0.332,10,19.00%,8.50%,2.24,0.282
wiggity01,127,23,1,15,64,69,53,128,10,4,4,6,3,534,600,0.238,0.311,0.369,0.680,0.131,0.306,-2,21.33%,8.83%,2.42,0.286
wilkian01,131,28,2,12,59,62,45,150,13,3,5,8,3,546,600,0.240,0.304,0.364,0.668,0.125,0.299,-5,25.00%,7.50%,3.33,0.310
willija01,137,26,3,16,66,65,49,123,14,3,5,9,3,540,600,0.254,0.322,0.402,0.723,0.148,0.322,6,20.50%,8.17%,2.51,0.302
willijo03,118,24,1,23,75,70,74,147,12,4,13,4,1,505,600,0.234,0.346,0.422,0.768,0.188,0.345,16,24.50%,12.33%,1.99,0.284
wilsobo02,129,23,2,14,57,66,48,110,15,2,4,7,3,531,600,0.243,0.310,0.373,0.683,0.130,0.305,-2,18.33%,8.00%,2.29,0.283
wilsoja02,132,24,4,14,61,63,43,111,11,4,4,9,3,541,600,0.244,0.304,0.381,0.685,0.137,0.306,-2,18.50%,7.17%,2.58,0.284
wilsojo03,133,26,3,11,60,67,41,122,20,2,5,8,2,546,600,0.244,0.302,0.363,0.665,0.119,0.297,-6,20.33%,6.83%,2.98,0.295
wisede01,141,26,3,17,67,71,35,122,8,1,3,28,7,554,600,0.255,0.302,0.404,0.707,0.150,0.311,1,20.33%,5.83%,3.49,0.299
wongko01,137,23,3,15,59,73,37,113,16,4,5,22,5,552,600,0.248,0.301,0.382,0.684,0.134,0.304,-3,18.83%,6.17%,3.05,0.288
worthda01,128,25,2,11,59,68,53,132,13,3,5,8,4,534,600,0.240,0.314,0.356,0.670,0.116,0.302,-4,22.00%,8.83%,2.49,0.299
wrighda03,152,31,3,15,72,70,58,109,17,8,4,13,6,534,600,0.285,0.359,0.438,0.797,0.154,0.357,22,18.17%,9.67%,1.88,0.334
yelicch01,150,29,4,10,53,84,64,135,10,3,3,18,5,531,600,0.282,0.363,0.409,0.772,0.126,0.345,16,22.50%,10.67%,2.11,0.363
ynoara01,151,33,4,11,75,63,45,113,12,3,4,8,3,546,600,0.277,0.336,0.412,0.748,0.136,0.332,10,18.83%,7.50%,2.51,0.332
youklke01,127,24,2,18,64,75,53,126,13,3,14,4,1,528,600,0.241,0.326,0.396,0.722,0.155,0.324,6,21.00%,8.83%,2.38,0.284
youngch04,121,32,2,19,65,68,55,130,9,3,5,13,5,536,600,0.226,0.304,0.399,0.703,0.174,0.313,1,21.67%,9.17%,2.36,0.264
youngde03,152,27,1,18,70,60,31,122,16,1,6,3,1,558,600,0.272,0.318,0.421,0.739,0.149,0.325,7,20.33%,5.17%,3.94,0.321
younger03,136,25,6,6,42,81,47,110,7,2,6,41,9,537,600,0.253,0.320,0.356,0.676,0.102,0.303,-3,18.33%,7.83%,2.34,0.309
youngma02,138,29,3,16,68,73,49,128,12,4,6,11,4,539,600,0.256,0.325,0.410,0.735,0.154,0.327,8,21.33%,8.17%,2.61,0.309
youngmi02,150,26,4,10,56,64,40,84,20,3,2,3,1,553,600,0.271,0.323,0.387,0.710,0.116,0.316,3,14.00%,6.67%,2.10,0.305
zimmery01,149,32,2,21,82,79,55,116,16,4,2,5,1,539,600,0.276,0.346,0.460,0.806,0.184,0.356,21,19.33%,9.17%,2.11,0.318
zobribe01,140,31,3,12,58,73,68,86,11,4,3,10,5,522,600,0.268,0.356,0.408,0.764,0.140,0.342,15,14.33%,11.33%,1.26,0.302
zuninmi01,121,25,2,23,70,69,36,176,15,2,15,3,3,546,600,0.222,0.288,0.401,0.689,0.179,0.305,-2,29.33%,6.00%,4.89,0.282
