playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,,,,,,
solisal01,46,9,1,5,22,23,16,44,4,1,2,3,1,184,204,0.250,0.317,0.391,0.708,0.141,0.316,0.9,21.57%,7.84%,2.75,0.304,,,,,,
soriaal01,87,20,1,16,53,43,22,92,8,2,3,6,3,352,382,0.247,0.297,0.446,0.743,0.199,0.326,4.7,24.08%,5.76%,4.18,0.291,,,,,,
sotoge01,55,12,1,8,30,30,23,61,7,1,1,2,1,235,262,0.234,0.305,0.396,0.701,0.162,0.311,0.2,23.28%,8.78%,2.65,0.283,,,,,,
sotone01,46,10,1,5,21,22,15,48,6,1,2,4,1,197,217,0.234,0.294,0.371,0.665,0.137,0.296,-2.3,22.12%,6.91%,3.20,0.285,,,,,,
souzast01,47,9,1,6,22,24,18,45,5,1,2,3,1,192,213,0.245,0.316,0.396,0.712,0.151,0.317,1.2,21.13%,8.45%,2.50,0.291,,,,,,
spande01,156,33,7,6,43,77,45,73,9,1,2,21,6,548,600,0.285,0.341,0.403,0.744,0.119,0.329,9.1,12.17%,7.50%,1.62,0.320,,,,,,
spangco01,56,10,2,6,27,27,17,49,5,1,2,6,3,212,233,0.264,0.325,0.415,0.740,0.151,0.327,3.2,21.03%,7.30%,2.88,0.318,,,,,,
spearna01,46,9,1,6,23,24,17,41,4,1,2,4,1,180,200,0.256,0.327,0.417,0.743,0.161,0.330,3.1,20.50%,8.50%,2.41,0.301,,,,,,
springe01,80,13,1,17,50,47,38,106,6,3,7,6,2,327,373,0.245,0.336,0.446,0.783,0.202,0.348,11.1,28.42%,10.19%,2.79,0.309,,,,,,
stantmi03,136,31,1,32,88,80,75,157,12,13,4,8,1,491,569,0.277,0.377,0.540,0.917,0.263,0.406,42.9,27.59%,13.18%,2.09,0.344,,,,,,
stassma01,51,11,1,5,25,24,16,46,5,1,2,3,1,191,211,0.267,0.330,0.414,0.744,0.147,0.330,3.3,21.80%,7.58%,2.88,0.329,,,,,,
